SITEVISITID,METHOD,OBS_YEAR,REGION,ISLAND,SITE,Site_Microbe,INHABITATION,DATE_,REEF_ZONE,DEPTH_BIN,LATITUDE,LONGITUDE,DEPTH(m),HARD CORAL (%),CCA (%),Calcifying (%),Macroalgae (%),Turf Algae (%),Fleshy (%),SAND (%),Viral abundance (VLP /ml),Bacterial abundance (Cells/ml),VLP:Microbe Ratio,Herbivore (g.m-2),Invertivore (g.m-2),Manta (g.m-2),Other (g.m-2),Planktivore (g.m-2),Piscivore (g.m-2),Shark (g.m-2),Dissolved inorganic carbon,Total Alkalinity,Temperature (DegC)
4660,nSPC,2012,SAMOA,Rose,ROS-00332,ROS02,Uninhabited,4/18/12,Forereef,Mid,-14.55788221,-168.1530219,12.35,27.5,37.5,65,22.5,9,31.5,0,5675750.047,729984.8235,7.775161708,12.1416094,12.70651088,0,0,5.469266882,3.432997708,0,1977.761398,2331.45,29.2498
4658,nSPC,2012,SAMOA,Rose,ROS-00327,ROS08,Uninhabited,4/18/12,Forereef,Mid,-14.5546996,-168.1462256,12.7,31.5,37.5,69,20,8.5,28.5,0,4950250.9,901699.6667,5.489910979,7.231088066,2.067531264,0,0,8.371954169,39.91892966,20.95827224,1978.38975,2331.12,29.4053
4655,nSPC,2012,SAMOA,Rose,ROS-00331,ROS03,Uninhabited,4/18/12,Forereef,Mid,-14.55032089,-168.1386213,12.15,11.5,50,61.5,28.5,5,33.5,0,4541521.239,731233.8065,6.210764873,14.91998292,7.076239285,0,0,5.602319696,6.656349748,0,1971.258679,2328.12,29.2965
4656,nSPC,2012,SAMOA,Rose,ROS-00329,ROS07,Uninhabited,4/18/12,Forereef,Mid,-14.54823346,-168.1377728,14.8,27.5,42.5,70,15,12.5,27.5,2.5,4608948.039,913524.3871,5.045238095,6.106474609,1.18192673,0,0,2.66877158,4.282453044,0,1970.533762,2329.93,29.4509
4651,nSPC,2012,SAMOA,Rose,ROS-00315,ROS01,Uninhabited,4/18/12,Forereef,Mid,-14.5404305,-168.1450859,10.95,17.5,57.5,75,20,0,20,5,8634844.575,1252212,6.895673077,18.38600409,5.769992941,0,0,8.467142291,14.60583778,0,1973.7745,2335.83,29.5944
8336,nSPC,2015,SAMOA,Ofu & Olosega,OFU-00588,OFU09 1,Uninhabited,3/14/15,Forereef,Mid,-14.18825151,-169.6204109,6.9,10,4,14,3,82.5,85.5,0.5,12112475.43,2828179.667,4.282781457,13.06064201,3.07843976,0,0.00162864,2.066415244,0.521293801,0,1950.846181,2316.46,29.4745
8326,nSPC,2015,SAMOA,Ofu & Olosega,OFU-00591,OLO04,Uninhabited,3/13/15,Forereef,Mid,-14.16559028,-169.645157,9.95,9,42.5,51.5,6,34.5,40.5,7.5,9654072.9,2940175.429,3.28350234,17.04941661,1.783509458,0,0,2.414241533,3.44443419,0,1952.555447,2314.65,29.5401
4786,nSPC,2012,SAMOA,Ofu & Olosega,OFU-00449,OFU06,Uninhabited,4/25/12,Forereef,Mid,-14.16347846,-169.6873557,15.65,13,30,43,2,55,57,0,9940015.355,1952373.548,5.091246684,63.72132686,39.85856414,0,0,6.969566298,105.5092377,0,1954.990431,2321.56,29.6124
4789,nSPC,2012,SAMOA,Ofu & Olosega,OFU-00455,OFU09,Uninhabited,4/25/12,Forereef,Mid,-14.1630576,-169.6829828,9.1,20,30,50,5,45,50,0,12444210.88,1451470.471,8.573519844,42.87362331,9.89036111,0,0,2.622078719,2.545247658,0,1952.487721,2316.18,29.5561
4830,nSPC,2012,PRIAs,Jarvis,JAR-00223,JAR03,Uninhabited,5/3/12,Forereef,Mid,-0.38226591,-159.9817058,10.85,30,25,55,12.5,32.5,45,0,4356179.927,422268.8485,10.31612903,60.9705075,7.916751842,0,0,252.4180859,45.84088557,91.90609108,2063.358183,2330.23,25.9813
4831,nSPC,2012,PRIAs,Jarvis,JAR-00228,JAR07,Uninhabited,5/3/12,Forereef,Mid,-0.38225803,-160.0023083,14.85,37.5,15,52.5,6.5,39.5,46,1.5,5842953.638,1054547.125,5.540723121,27.8850464,24.79328501,0,0,66.2091652,248.4884017,208.7027185,2060.705947,2328.96,25.7986
4824,nSPC,2012,PRIAs,Jarvis,JAR-00230,JAR02,Uninhabited,5/3/12,Forereef,Mid,-0.37956157,-160.0156624,15.85,47.5,35,82.5,10,7,17,0.5,4654696.76,1196558.133,3.890071556,86.94895254,10.33352593,0,0,150.4216871,107.5602348,515.0467169,2057.145257,2329.99,26.2513
4822,nSPC,2012,PRIAs,Jarvis,JAR-00243,JAR01,Uninhabited,5/3/12,Forereef,Mid,-0.37193396,-160.0114638,10.05,45,32.5,77.5,5,17.5,22.5,0,5622645.933,1124671.889,4.999365583,44.84370318,17.11702473,0,0,27.04770002,83.23547763,205.7529764,2059.913999,2332.14,25.7954
